id,dimension_code,code,title,axiom,explanation,created_at,updated_at,worldly_example,spiritual_example,objectivity_statement,truth_property_primary
cp_cog_002,cognition,COG_002,過度推論式解讀,認知一旦被過度推論綁架，事實就會被解釋成威脅。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 過度推論式解讀 appears as repeated observable patterns in choices and consequences.","In consciousness, 過度推論式解讀 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_cog_003,cognition,COG_003,二分法式解讀,認知一旦被二分法綁架，事實就會被解釋成威脅。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 二分法式解讀 appears as repeated observable patterns in choices and consequences.","In consciousness, 二分法式解讀 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_cog_004,cognition,COG_004,腦補式解讀,認知一旦被腦補綁架，事實就會被解釋成威脅。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 腦補式解讀 appears as repeated observable patterns in choices and consequences.","In consciousness, 腦補式解讀 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_cog_005,cognition,COG_005,先入為主式解讀,認知一旦被先入為主綁架，事實就會被解釋成威脅。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 先入為主式解讀 appears as repeated observable patterns in choices and consequences.","In consciousness, 先入為主式解讀 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_cog_006,cognition,COG_006,標籤化式解讀,認知一旦被標籤化綁架，事實就會被解釋成威脅。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 標籤化式解讀 appears as repeated observable patterns in choices and consequences.","In consciousness, 標籤化式解讀 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_cog_007,cognition,COG_007,自我否定式解讀,認知一旦被自我否定綁架，事實就會被解釋成威脅。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 自我否定式解讀 appears as repeated observable patterns in choices and consequences.","In consciousness, 自我否定式解讀 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_cog_008,cognition,COG_008,災難化式解讀,認知一旦被災難化綁架，事實就會被解釋成威脅。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 災難化式解讀 appears as repeated observable patterns in choices and consequences.","In consciousness, 災難化式解讀 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_cog_009,cognition,COG_009,選擇性失明式解讀,認知一旦被選擇性失明綁架，事實就會被解釋成威脅。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 選擇性失明式解讀 appears as repeated observable patterns in choices and consequences.","In consciousness, 選擇性失明式解讀 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_emo_001,emotion,EMO_001,壓抑情緒回路,當情緒停在壓抑，感受就難以指向真正需要。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 壓抑情緒回路 appears as repeated observable patterns in choices and consequences.","In consciousness, 壓抑情緒回路 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_emo_002,emotion,EMO_002,爆發情緒回路,當情緒停在爆發，感受就難以指向真正需要。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 爆發情緒回路 appears as repeated observable patterns in choices and consequences.","In consciousness, 爆發情緒回路 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_emo_003,emotion,EMO_003,麻木情緒回路,當情緒停在麻木，感受就難以指向真正需要。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 麻木情緒回路 appears as repeated observable patterns in choices and consequences.","In consciousness, 麻木情緒回路 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_emo_004,emotion,EMO_004,羞恥情緒回路,當情緒停在羞恥，感受就難以指向真正需要。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 羞恥情緒回路 appears as repeated observable patterns in choices and consequences.","In consciousness, 羞恥情緒回路 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_emo_005,emotion,EMO_005,焦慮情緒回路,當情緒停在焦慮，感受就難以指向真正需要。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 焦慮情緒回路 appears as repeated observable patterns in choices and consequences.","In consciousness, 焦慮情緒回路 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_emo_006,emotion,EMO_006,怨恨情緒回路,當情緒停在怨恨，感受就難以指向真正需要。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 怨恨情緒回路 appears as repeated observable patterns in choices and consequences.","In consciousness, 怨恨情緒回路 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_emo_007,emotion,EMO_007,恐慌情緒回路,當情緒停在恐慌，感受就難以指向真正需要。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 恐慌情緒回路 appears as repeated observable patterns in choices and consequences.","In consciousness, 恐慌情緒回路 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_emo_008,emotion,EMO_008,嫉妒情緒回路,當情緒停在嫉妒，感受就難以指向真正需要。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 嫉妒情緒回路 appears as repeated observable patterns in choices and consequences.","In consciousness, 嫉妒情緒回路 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_emo_009,emotion,EMO_009,委屈情緒回路,當情緒停在委屈，感受就難以指向真正需要。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 委屈情緒回路 appears as repeated observable patterns in choices and consequences.","In consciousness, 委屈情緒回路 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",verifiability
cp_rel_001,relationship,REL_001,拯救型關係模式,關係若被拯救主導，連結會慢慢變成束縛。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 拯救型關係模式 appears as repeated observable patterns in choices and consequences.","In consciousness, 拯救型關係模式 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",plurality
cp_rel_002,relationship,REL_002,依附型關係模式,關係若被依附主導，連結會慢慢變成束縛。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 依附型關係模式 appears as repeated observable patterns in choices and consequences.","In consciousness, 依附型關係模式 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",plurality
cp_rel_003,relationship,REL_003,討好型關係模式,關係若被討好主導，連結會慢慢變成束縛。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 討好型關係模式 appears as repeated observable patterns in choices and consequences.","In consciousness, 討好型關係模式 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",plurality
cp_rel_004,relationship,REL_004,防衛型關係模式,關係若被防衛主導，連結會慢慢變成束縛。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 防衛型關係模式 appears as repeated observable patterns in choices and consequences.","In consciousness, 防衛型關係模式 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",plurality
cp_rel_005,relationship,REL_005,測試型關係模式,關係若被測試主導，連結會慢慢變成束縛。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 測試型關係模式 appears as repeated observable patterns in choices and consequences.","In consciousness, 測試型關係模式 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",plurality
cp_rel_006,relationship,REL_006,佔有型關係模式,關係若被佔有主導，連結會慢慢變成束縛。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 佔有型關係模式 appears as repeated observable patterns in choices and consequences.","In consciousness, 佔有型關係模式 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",plurality
cp_rel_007,relationship,REL_007,退縮型關係模式,關係若被退縮主導，連結會慢慢變成束縛。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 退縮型關係模式 appears as repeated observable patterns in choices and consequences.","In consciousness, 退縮型關係模式 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",plurality
cp_rel_008,relationship,REL_008,角色錯位型關係模式,關係若被角色錯位主導，連結會慢慢變成束縛。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 角色錯位型關係模式 appears as repeated observable patterns in choices and consequences.","In consciousness, 角色錯位型關係模式 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",plurality
cp_rel_009,relationship,REL_009,界線模糊型關係模式,關係若被界線模糊主導，連結會慢慢變成束縛。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 界線模糊型關係模式 appears as repeated observable patterns in choices and consequences.","In consciousness, 界線模糊型關係模式 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",plurality
cp_bel_001,belief,BEL_001,不配得信念,信念若被不配得固定，選擇就會被舊故事限制。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 不配得信念 appears as repeated observable patterns in choices and consequences.","In consciousness, 不配得信念 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_bel_002,belief,BEL_002,必須完美信念,信念若被必須完美固定，選擇就會被舊故事限制。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 必須完美信念 appears as repeated observable patterns in choices and consequences.","In consciousness, 必須完美信念 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_bel_003,belief,BEL_003,先苦後值信念,信念若被先苦後值固定，選擇就會被舊故事限制。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 先苦後值信念 appears as repeated observable patterns in choices and consequences.","In consciousness, 先苦後值信念 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_bel_004,belief,BEL_004,被看見才算存在信念,信念若被被看見才算存在固定，選擇就會被舊故事限制。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 被看見才算存在信念 appears as repeated observable patterns in choices and consequences.","In consciousness, 被看見才算存在信念 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_bel_005,belief,BEL_005,服從才安全信念,信念若被服從才安全固定，選擇就會被舊故事限制。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 服從才安全信念 appears as repeated observable patterns in choices and consequences.","In consciousness, 服從才安全信念 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_bel_006,belief,BEL_006,失敗等於否定信念,信念若被失敗等於否定固定，選擇就會被舊故事限制。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 失敗等於否定信念 appears as repeated observable patterns in choices and consequences.","In consciousness, 失敗等於否定信念 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_bel_007,belief,BEL_007,需要證明信念,信念若被需要證明固定，選擇就會被舊故事限制。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 需要證明信念 appears as repeated observable patterns in choices and consequences.","In consciousness, 需要證明信念 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_bel_008,belief,BEL_008,改變很危險信念,信念若被改變很危險固定，選擇就會被舊故事限制。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 改變很危險信念 appears as repeated observable patterns in choices and consequences.","In consciousness, 改變很危險信念 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",objectivity
cp_evo_001,evolution,EVO_001,重複課題成長課題,成長若卡在重複課題，重複就會偽裝成命運。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 重複課題成長課題 appears as repeated observable patterns in choices and consequences.","In consciousness, 重複課題成長課題 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_evo_002,evolution,EVO_002,抗拒改變成長課題,成長若卡在抗拒改變，重複就會偽裝成命運。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 抗拒改變成長課題 appears as repeated observable patterns in choices and consequences.","In consciousness, 抗拒改變成長課題 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_evo_003,evolution,EVO_003,停留舒適圈成長課題,成長若卡在停留舒適圈，重複就會偽裝成命運。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 停留舒適圈成長課題 appears as repeated observable patterns in choices and consequences.","In consciousness, 停留舒適圈成長課題 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_evo_004,evolution,EVO_004,把挫折當倒退成長課題,成長若卡在把挫折當倒退，重複就會偽裝成命運。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 把挫折當倒退成長課題 appears as repeated observable patterns in choices and consequences.","In consciousness, 把挫折當倒退成長課題 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_evo_005,evolution,EVO_005,急著畢業成長課題,成長若卡在急著畢業，重複就會偽裝成命運。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 急著畢業成長課題 appears as repeated observable patterns in choices and consequences.","In consciousness, 急著畢業成長課題 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_evo_006,evolution,EVO_006,模仿成長成長課題,成長若卡在模仿成長，重複就會偽裝成命運。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 模仿成長成長課題 appears as repeated observable patterns in choices and consequences.","In consciousness, 模仿成長成長課題 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_evo_007,evolution,EVO_007,只收結果成長課題,成長若卡在只收結果，重複就會偽裝成命運。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 只收結果成長課題 appears as repeated observable patterns in choices and consequences.","In consciousness, 只收結果成長課題 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_evo_008,evolution,EVO_008,逃避整合成長課題,成長若卡在逃避整合，重複就會偽裝成命運。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 逃避整合成長課題 appears as repeated observable patterns in choices and consequences.","In consciousness, 逃避整合成長課題 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_cau_001,causality,CAU_001,推責因果盲點,忽略推責時，因與果之間的責任會被切斷。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 推責因果盲點 appears as repeated observable patterns in choices and consequences.","In consciousness, 推責因果盲點 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_cau_002,causality,CAU_002,短視近利因果盲點,忽略短視近利時，因與果之間的責任會被切斷。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 短視近利因果盲點 appears as repeated observable patterns in choices and consequences.","In consciousness, 短視近利因果盲點 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_cau_003,causality,CAU_003,重複相同選擇因果盲點,忽略重複相同選擇時，因與果之間的責任會被切斷。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 重複相同選擇因果盲點 appears as repeated observable patterns in choices and consequences.","In consciousness, 重複相同選擇因果盲點 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_cau_004,causality,CAU_004,忽視代價因果盲點,忽略忽視代價時，因與果之間的責任會被切斷。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 忽視代價因果盲點 appears as repeated observable patterns in choices and consequences.","In consciousness, 忽視代價因果盲點 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_cau_005,causality,CAU_005,只看結果因果盲點,忽略只看結果時，因與果之間的責任會被切斷。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 只看結果因果盲點 appears as repeated observable patterns in choices and consequences.","In consciousness, 只看結果因果盲點 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_cau_006,causality,CAU_006,情緒下決定因果盲點,忽略情緒下決定時，因與果之間的責任會被切斷。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 情緒下決定因果盲點 appears as repeated observable patterns in choices and consequences.","In consciousness, 情緒下決定因果盲點 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_cau_007,causality,CAU_007,拖延因果盲點,忽略拖延時，因與果之間的責任會被切斷。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 拖延因果盲點 appears as repeated observable patterns in choices and consequences.","In consciousness, 拖延因果盲點 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_cau_008,causality,CAU_008,切斷反饋因果盲點,忽略切斷反饋時，因與果之間的責任會被切斷。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 切斷反饋因果盲點 appears as repeated observable patterns in choices and consequences.","In consciousness, 切斷反饋因果盲點 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_man_001,manifestation,MAN_001,匱乏感式顯化,顯化若被匱乏感牽動，追求就會偏離價值交換。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 匱乏感式顯化 appears as repeated observable patterns in choices and consequences.","In consciousness, 匱乏感式顯化 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_man_002,manifestation,MAN_002,價格焦慮式顯化,顯化若被價格焦慮牽動，追求就會偏離價值交換。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 價格焦慮式顯化 appears as repeated observable patterns in choices and consequences.","In consciousness, 價格焦慮式顯化 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_man_003,manifestation,MAN_003,拿價值換認同式顯化,顯化若被拿價值換認同牽動，追求就會偏離價值交換。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 拿價值換認同式顯化 appears as repeated observable patterns in choices and consequences.","In consciousness, 拿價值換認同式顯化 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_man_004,manifestation,MAN_004,急著顯化式顯化,顯化若被急著顯化牽動，追求就會偏離價值交換。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 急著顯化式顯化 appears as repeated observable patterns in choices and consequences.","In consciousness, 急著顯化式顯化 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_man_005,manifestation,MAN_005,討好市場式顯化,顯化若被討好市場牽動，追求就會偏離價值交換。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 討好市場式顯化 appears as repeated observable patterns in choices and consequences.","In consciousness, 討好市場式顯化 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_man_006,manifestation,MAN_006,不敢接收式顯化,顯化若被不敢接收牽動，追求就會偏離價值交換。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 不敢接收式顯化 appears as repeated observable patterns in choices and consequences.","In consciousness, 不敢接收式顯化 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_man_007,manifestation,MAN_007,過度控制結果式顯化,顯化若被過度控制結果牽動，追求就會偏離價值交換。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 過度控制結果式顯化 appears as repeated observable patterns in choices and consequences.","In consciousness, 過度控制結果式顯化 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_man_008,manifestation,MAN_008,把金錢神化式顯化,顯化若被把金錢神化牽動，追求就會偏離價值交換。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 把金錢神化式顯化 appears as repeated observable patterns in choices and consequences.","In consciousness, 把金錢神化式顯化 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",consistency
cp_suf_001,suffering,SUF_001,受害者認同型痛苦循環,痛苦一旦與受害者認同結盟，傷口就會變成身份。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 受害者認同型痛苦循環 appears as repeated observable patterns in choices and consequences.","In consciousness, 受害者認同型痛苦循環 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",discoverability
cp_suf_002,suffering,SUF_002,抗拒疼痛型痛苦循環,痛苦一旦與抗拒疼痛結盟，傷口就會變成身份。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 抗拒疼痛型痛苦循環 appears as repeated observable patterns in choices and consequences.","In consciousness, 抗拒疼痛型痛苦循環 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",discoverability
cp_suf_003,suffering,SUF_003,麻醉自己型痛苦循環,痛苦一旦與麻醉自己結盟，傷口就會變成身份。,,2026-06-04T10:25:52.059328+00:00,2026-06-04T10:25:52.059328+00:00,"In lived situations, 麻醉自己型痛苦循環 appears as repeated observable patterns in choices and consequences.","In consciousness, 麻醉自己型痛苦循環 appears as the inner pattern that shapes perception and response.","This principle operates even if the person does not know, believe, or imagine it.",discoverability
